Robyn Thorne 9 ADA1O1 TGJ1OP AVI1OP CGC1D1 ENG1D1 FSF1D1 MAT1L1 MFM1P1 NAC1O1 PPL1OM SNC1D8
Olaf Villanueva 12 PAF4O1 SBI4U1 AWQ4M1 TDJ4M1 CHY4U1 TEJ4M1 ENG4U1 TFJ4C1 TGJ4MP MDM4U1 MHF4U6
Abigail Leal 9 ADA1O1 TIJ1O1 BTT1O1 CGC1D1 ENG1L1 FSF1D1 MAT1L1 MFM1P1 PPL1OF SNC1D1 TGJ1O1
Dion Baker 12 ADA4M1 PLF4M1 SCH4U1 SPH4U1 CHY4U1 CLN4U1 TFJ4C1 ENG4U1 HHS4U1 TGJ4MP IDC4U1
Ansh Perry 9 ADA1O1 AVI1OP TIJ1O1 ENG1L1 FSF1O1 MAT1L1 MFM1P1 NAC1O1 PPL1OF SNC1D8 TGJ1O1
Fay Pham 10 MFM2P1 MPM2D6 CHC2DP PAF2OF CHV2O1 SNC2L1 TDJ2O1 ENG2L1 FSF2D1 GLC2O1 ICS2O1
Leela Leach 12 ADA4M1 PLF4M1 AWD4M1 BAT4M1 SPH4U1 CHY4U1 TDJ4M1 CLN4U1 TEJ4M1 IDC4U1 MHF4U6
Xanthe Talley 9 ADA1O1 TIJ1O1 AVI1OP CGC1D1 ENG1L1 FSF1O1 MAT1L1 MFM1P1 PPL1OF SNC1D8 TGJ1O1
Nuala Clark 10 MFM2P1 ADA2O1 MPM2D1 BBI2O1 CHC2D1 PPL2OM SNC2P1 ENG2D6 FSF2D1 GLC2OP ICS2O1
Haleema Lee 11 ADA3M1 AWQ3M1 BAF3M1 CHG381 SPH3U1 CHW3M6 TEJ3M1 ENG3U1 FSF3U6 THJ3M1 ICS3U1
Chenai Mathis 10 MAT2L1 MFM2P1 MPM2D1 CHC2DP PAF2OF CHV2O1 SNC2L1 TDJ2O1 ENG2P1 FSF2D1 GLC2OP
Divine Levine 12 PAF4O1 AWD4M1 AWQ4M1 TDJ4M1 ENG4U1 TGJ4M1 HHS4C1 ICS4U1 IDC4U1 MDM4U1 MHF4U1
Duncan Ritter 9 ADA1O1 TGJ1OP TIJ1O1 AVI1OP FSF1O1 BTT1O1 CGC1D1 ENG1D1 MFM1P1 NAC1O1 PPL1OM
Thiago Aguilar 11 ADA3M1 AWQ3M1 PPL3OM SBI3U6 CHW3M6 ENG3C1 TEJ3M1 FSF3U1 THJ3M1 HSP3U1 ICS3U1
Fynn Joyner 11 BAF3M1 BDP3O1 SBI3U6 CHG381 SCH3U1 SPH3U6 ENG3U1 TFJ3C1 FSF3U1 TGJ3M1 ICS3U1
Rubie Millar 9 AVI1OP TIJ1O1 BTT1O1 CGC1D1 FSF1D1 MAT1L1 MFM1P1 NAC1O1 PPL1OF SNC1D1 TGJ1O1
Miguel Carlson 10 PPL2OM MAT2L1 ADA2O1 MFM2P1 BBI2O1 CHC2D8 CHV2OP SNC2P1 TDJ2O1 ENG2P1 FSF2D1
Kathy Neale 11 ADA3M1 AWQ3M1 BAF3M1 BDP3O1 SCH3U1 CHG381 TDJ3M1 TFJ3C1 TGJ3M1 FSF3U6 ICS3U1
Emil Amin 11 AWQ3M1 BDP3O1 CHG381 CHW3M6 SPH3U6 ENG3E1 TFJ3C1 TGJ3M1 FSF3U1 THJ3M1 HSP3U1
